Brand Names
Mi LED Smart TV 4A PRO 80 cm (32)  with Android
Mi LED Smart TV 4A Pro 108 cm (43)  with Android
LG All-in-One 80cm (32 inch) HD Ready LED Smart TV 2019 Edition
Mi LED Smart TV 4A 100 cm (40)
Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV
Thomson B9 Pro 80cm (32 inch) HD Ready LED Smart TV
Vu 80cm (32 inch) HD Ready LED Smart TV
Vu 108cm (43 inch) Full HD LED Smart TV
Thomson R9 80cm (32 inch) HD Ready LED TV
Micromax 81cm (32 inch) HD Ready LED TV  with IPS Panel
Vu Pixelight 126cm (50 inch) Ultra HD (4K) LED Smart TV  with cricket mode
Vu 100cm (40 inch) Full HD LED Smart TV
Blaupunkt 80cm (32 inch) HD Ready LED TV
Vu 80cm (32 inch) HD Ready LED TV  with FM Radio
Mi LED Smart TV 4X 108 cm (43)
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google Assistant
Thomson B9 Pro 102cm (40 inch) Full HD LED Smart TV
Vu Pixelight 138cm (55 inch) Ultra HD (4K) LED Smart TV  with Cricket Mode
Sansui Pro View 60cm (24 inch) HD Ready LED TV  with WCG
Vu Premium Android 126cm (50 inch) Ultra HD (4K) LED Smart Android TV  with Cricket Mode
Samsung 80cm (32 inch) HD Ready LED TV 2018 Edition
Nokia 139cm (55 inch) Ultra HD (4K) LED Smart Android TV  with Sound by JBL
Kodak X900 80cm (32 inch) HD Ready LED TV
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10
Sony Bravia R202F 80cm (32 inch) HD Ready LED TV
TCL S6500 Series 80cm (32 inch) HD Ready LED Smart Android TV
Sansui Pro View 80cm (32 inch) HD Ready LED TV 2019 Edition  with WCG
MarQ by Flipkart 140cm (55 inch) Ultra HD (4K) LED Smart TV
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV
Thomson 138.78cm (55 inch) Ultra HD (4K) LED Smart Android TV  with In-built soundbar & Netflix
Vu Premium Android 126cm (50 inch) Ultra HD (4K) LED Smart TV
Vu Ultra Smart 123cm (49 inch) Full HD LED Smart TV
Samsung Super 6 138cm (55 inch) Ultra HD (4K) LED Smart TV
TCL 125.7cm (50 inch) Ultra HD (4K) LED Smart Android TV
MarQ by Flipkart Innoview 61cm (24 inch) Full HD LED TV
iFFALCON by TCL AI Powered K31 125.73cm (50 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV
BPL Vivid Series 80cm (32) HD Ready LED TV
Dektron 60cm (24 inch) HD Ready LED TV
MarQ by Flipkart Innoview 60cm (24 inch) HD Ready LED TV
Thomson UD9 108cm (43 inch) Ultra HD (4K) LED Smart TV
Kodak X900 102cm (40 inch) Full HD LED TV
Sansui Pro View 80cm (32 inch) HD Ready LED Smart TV 2019 Edition  with WCG
iFFALCON by TCL 123.13cm (49 inch) Full HD LED Smart Android TV  with Google Assistant
Thomson R9 60cm (24 inch) HD Ready LED TV
LG Led 60cm (24 inch) HD Ready LED TV
Thomson 123.2cm (49 inch) Ultra HD (4K) LED Smart Android TV  with In-built soundbar & Netflix
Vu Pixelight 108cm (43 inch) Ultra HD (4K) LED Smart TV
Motorola 107.6cm (43 inch) Full HD LED Smart Android TV  with Wireless Gamepad
TCL P65 Series 107.9cm (43 inch) Full HD LED Smart TV
Vu Pixelight 126cm (50 inch) Ultra HD (4K) LED Smart TV
Sony Bravia X8500F 108cm (43 inch) Ultra HD (4K) LED Smart Android TV
BPL Stellar Series 98cm (39 inch) HD Ready LED Smart TV
ADSUN 80cm (32 inch) HD Ready LED TV
Samsung 108cm (43 inch) Full HD LED Smart TV 2018 Edition
IGO By Onida 102cm (40 inch) Full HD LED Smart TV  with Beat Box
LG LH454A 60cm (24 inch) HD Ready LED TV
Micromax 81cm (32 inch) HD Ready LED TV
Sansui Pro View 102cm (40 inch) Full HD LED TV 2019 Edition
MarQ by Flipkart Innoview 80cm (32 inch) HD Ready LED TV
Sony Bravia W622F 80cm (32 inch) HD Ready LED Smart TV
Kodak XPRO 102cm (40 inch) Full HD LED Smart TV
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV
Mi LED Smart TV 4X 163.9 cm (65)
iFFALCON by TCL AI Powered K3A 163.9cm (65 inch) Ultra HD (4K) LED Smart Android TV  with Super Narrow...
